3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 1 7	3 -3 0 1 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 2 7	3 -3 0 2 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 3 7	3 -3 0 3 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 4 7	3 -3 0 4 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 5 7	3 -3 0 5 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 6 7	3 -3 0 6 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 -3 0 7 7	3 -3 0 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	0 0 0 7 7	0 0 0 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	0 0 0 8 7	0 0 0 8 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	-3 3 0 8 7	-3 3 0 8 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	-3 3 0 9 7	-3 3 0 9 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	3 3 3 7 7	-3 3 0 10 7	-3 3 0 10 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8	-3 -3 -3 7 8
